# x,gp_mu,gp_std
2.458325469200000167e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325470600000117e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325472000000067e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325473400000017e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325474799999967e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325476100000087e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325477500000037e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325478899999987e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325480299999937e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325481699999887e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325483099999838e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325484499999788e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325485900000203e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325487300000153e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325488599999808e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325490000000224e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325491400000174e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325492800000124e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325494200000074e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325495600000024e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325496999999974e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325498399999924e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325499799999874e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325501099999994e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325502499999944e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325503899999894e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325505299999844e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325506699999794e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325508100000210e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325509500000160e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325510900000110e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325512300000060e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325513600000180e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325515000000130e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325516400000080e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325517800000031e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325519199999981e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325520599999931e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325521999999881e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325523399999831e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325524799999781e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325526099999901e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325527499999851e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325528899999801e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325530300000217e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325531700000167e+06,1.000000000000000000e+00,3.599000243839443604e-05
