# bintime,binflux,binflux_err
-6.919109983903241889e-02,9.999978085358937063e-01,1.188180042948646211e-04
-6.822822016812679635e-02,9.998187405221602431e-01,1.049716032267091793e-04
-6.727739498921010697e-02,9.998469967995921026e-01,8.475406389846814985e-05
-6.639475968596082744e-02,9.999618645637265990e-01,1.002080267065946453e-04
-6.543344022626805534e-02,9.998371277536665103e-01,9.615657818318731410e-05
-6.446451851553178236e-02,9.997065490291964229e-01,1.054904634501434502e-04
-6.357192774154415971e-02,9.996801396210988067e-01,1.092569100565792071e-04
-6.263463375654455823e-02,9.999054577201604843e-01,9.333730217168145272e-05
-6.167268148778315418e-02,9.998336695134639740e-01,1.100537123201157728e-04
-6.074894354599786467e-02,9.999660664591295545e-01,1.077347427255704270e-04
-5.980747809032693763e-02,9.997766556278351313e-01,1.156389076954966261e-04
-5.889466234900844060e-02,9.999833961327870835e-01,9.685103006047494076e-05
-5.790928873852024122e-02,9.999226263591221020e-01,1.213272264585945107e-04
-5.694528413729400829e-02,9.999830087025960434e-01,1.329725360401201150e-04
-5.600857463931721569e-02,9.997841581221549312e-01,1.116949282880534320e-04
-5.505875022266926849e-02,9.997675977647304535e-01,9.735110216064349407e-05
-5.411711559086603701e-02,9.997440949082374573e-01,1.281921220857772602e-04
-5.316025567337528263e-02,9.998241774737834930e-01,1.294417244949282121e-04
-5.223618576607772651e-02,9.996228429578966068e-01,1.247796720809862066e-04
-5.132467016909690594e-02,9.997943620527943720e-01,1.275027888302541145e-04
