#BJD_TDB,flux,flux_err
2.458411130519e+06,1.039273977e+00,2.157956921e-02
2.458411131908e+06,9.722681642e-01,2.150493488e-02
2.458411133297e+06,9.859861732e-01,2.151693776e-02
2.458411134686e+06,9.866121411e-01,2.152864821e-02
2.458411136075e+06,9.926117659e-01,2.153479494e-02
2.458411137463e+06,9.736295938e-01,2.153036930e-02
2.458411138852e+06,1.027350068e+00,2.156121656e-02
2.458411140241e+06,9.785718918e-01,2.150199562e-02
2.458411141630e+06,1.011125803e+00,2.157581784e-02
2.458411143019e+06,1.012587070e+00,2.151811682e-02
2.458411144408e+06,9.850948453e-01,2.151617967e-02
2.458411145797e+06,1.029669285e+00,2.155053429e-02
2.458411147186e+06,1.019937396e+00,2.154002525e-02
2.458411148575e+06,9.966317415e-01,2.151993103e-02
2.458411149964e+06,9.788740277e-01,2.151453495e-02
2.458411151353e+06,1.005878568e+00,2.157226205e-02
2.458411152742e+06,1.003599524e+00,2.152528800e-02
2.458411154131e+06,9.949092269e-01,2.155696414e-02
2.458411155520e+06,9.772880673e-01,2.150472999e-02
2.458411156908e+06,9.796305895e-01,2.154335380e-02
2.458411158297e+06,1.002231598e+00,2.153283916e-02
2.458411159686e+06,1.007787108e+00,2.153353766e-02
2.458411161075e+06,1.014244795e+00,2.154680714e-02
2.458411162464e+06,1.002996087e+00,2.152819745e-02
2.458411163853e+06,9.938660860e-01,2.151798829e-02
2.458411165242e+06,1.021733284e+00,2.155044302e-02
2.458411166631e+06,9.913480878e-01,2.151851729e-02
2.458411168020e+06,9.942899942e-01,2.154506929e-02
2.458411169409e+06,1.015947819e+00,2.154757082e-02
2.458411170798e+06,1.021856308e+00,2.156572603e-02
2.458411172187e+06,1.041688085e+00,2.157052048e-02
