# time,flux_clean,flux_err
2.458462624969999772e+06,1.006826026440433841e+00,4.359098523999999780e-02
2.458462626358999871e+06,9.905194474014433759e-01,4.329816997000000139e-02
2.458462627747999970e+06,9.916321174289710605e-01,4.329305515000000243e-02
2.458462629137000069e+06,1.007863163591559807e+00,4.323789104999999772e-02
2.458462630526000168e+06,1.007738914003652786e+00,4.323672876000000248e-02
2.458462631914000027e+06,1.010322931466797636e+00,4.324948415000000324e-02
2.458462633303000126e+06,9.901505622080228886e-01,4.326768591999999997e-02
2.458462634692000225e+06,1.006134693672286806e+00,4.331315681000000306e-02
2.458462636080999859e+06,9.907050872300579014e-01,4.356265813000000098e-02
2.458462637469999958e+06,1.022958712075776155e+00,4.364178330000000050e-02
2.458462638859000057e+06,9.905631351512214078e-01,4.330202937000000168e-02
2.458462640246999916e+06,1.027228450591772146e+00,4.324324057000000082e-02
2.458462641636000015e+06,9.939732664956301145e-01,4.328448698000000178e-02
2.458462643025000114e+06,1.064579914009599504e+00,4.331544787000000257e-02
2.458462644414000213e+06,9.889584896696117511e-01,4.328381270000000031e-02
2.458462645802999847e+06,1.017062110352582316e+00,4.322275519000000343e-02
2.458462647191999946e+06,9.497392688833076191e-01,4.324052109999999838e-02
2.458462648581000045e+06,9.960303483874739516e-01,4.332095011999999995e-02
2.458462649968999904e+06,9.730965346354953915e-01,4.320098832000000139e-02
2.458462651358000003e+06,1.014151881072018480e+00,4.332260414999999920e-02
2.458462652747000102e+06,9.950278163933086173e-01,4.323381930999999762e-02
2.458462654136000201e+06,9.808053043549443961e-01,4.328935965999999858e-02
2.458462655524999835e+06,9.951801481883201239e-01,4.331969841999999682e-02
2.458462656913999934e+06,1.004707007890089265e+00,4.328033327999999957e-02
2.458462658303000033e+06,9.784967911077018243e-01,4.324245079999999852e-02
2.458462659690999892e+06,1.001267711480591460e+00,4.342238232000000114e-02
2.458462661079999991e+06,1.006457626663387561e+00,4.319833591999999722e-02
2.458462662469000090e+06,9.862050185566969551e-01,4.329214617999999765e-02
2.458462663858000189e+06,9.840492689358719680e-01,4.337313398999999986e-02
2.458462665246999823e+06,9.766455567989172915e-01,4.318414629000000282e-02
2.458462666635999922e+06,1.020360312321217933e+00,4.334092885000000173e-02
2.458462668023999780e+06,1.035741078479085253e+00,4.324250668000000075e-02
2.458462669412999880e+06,9.971476069166052003e-01,4.322903975999999732e-02
2.458462670801999979e+06,9.396239220989490715e-01,4.330425336999999680e-02
2.458462672191000078e+06,9.771256782354115211e-01,4.322854428999999693e-02
2.458462673580000177e+06,9.674310828544323559e-01,4.343263060000000092e-02
2.458462674968999811e+06,9.778548612913413596e-01,4.326148331000000125e-02
2.458462676357999910e+06,1.005946374943989197e+00,4.324064403999999806e-02
2.458462677745999768e+06,9.709105891726463877e-01,4.327586292999999890e-02
2.458462679134999868e+06,1.019001253374724802e+00,4.339275137000000310e-02
2.458462680523999967e+06,9.835452224024823220e-01,4.322700202000000214e-02
2.458462681913000066e+06,9.997213220879964668e-01,4.327536002000000048e-02
2.458462683302000165e+06,1.013800281843374451e+00,4.320663958999999832e-02
2.458462684690999798e+06,1.025911452316228489e+00,4.342932626999999879e-02
2.458462686079999898e+06,9.967736603556284214e-01,4.350876436000000042e-02
2.458462687468000222e+06,9.936583511321543938e-01,4.327105358000000318e-02
2.458462688856999855e+06,1.011502556256255181e+00,4.320012033000000112e-02
2.458462690245999955e+06,9.783329122479438311e-01,4.326289892000000081e-02
2.458462691635000054e+06,9.915555589109926737e-01,4.324677958999999933e-02
2.458462693024000153e+06,9.954840680023089305e-01,4.321403800999999711e-02
2.458462694412999786e+06,1.038363114995742853e+00,4.324055836000000042e-02
2.458462695801999886e+06,9.956258166385810737e-01,4.325935990000000231e-02
2.458462697190000210e+06,1.036227732553061553e+00,4.325398803000000264e-02
