# #BJD_TDB,flux,flux_err
2.458411073699467350e+06,1.001678109169006348e+00,2.430498367175459862e-03
2.458411075088386890e+06,1.002491474151611328e+00,2.431082306429743767e-03
2.458411076477305964e+06,1.003566980361938477e+00,2.431574976071715355e-03
2.458411077866225503e+06,1.001897573471069336e+00,2.430296037346124649e-03
2.458411079255145043e+06,1.006184339523315430e+00,2.430287888273596764e-03
2.458411080644064583e+06,1.000964403152465820e+00,2.431678352877497673e-03
2.458411082032983657e+06,1.003052353858947754e+00,2.431534463539719582e-03
2.458411083421903197e+06,1.003316283226013184e+00,2.430109772831201553e-03
2.458411084810822736e+06,1.004476904869079590e+00,2.431656001135706902e-03
2.458411086199741811e+06,1.004384279251098633e+00,2.430911408737301826e-03
2.458411087588661350e+06,1.002080202102661133e+00,2.430631546303629875e-03
2.458411088977580890e+06,1.013541460037231445e+00,2.436887472867965698e-03
2.458411090366500430e+06,1.004530906677246094e+00,2.432129811495542526e-03
2.458411091755419504e+06,1.003232240676879883e+00,2.431285567581653595e-03
2.458411093144339044e+06,1.003386259078979492e+00,2.429932355880737305e-03
2.458411094533258583e+06,1.007803678512573242e+00,2.432240173220634460e-03
2.458411095922178123e+06,1.005054116249084473e+00,2.433499554172158241e-03
2.458411097311097197e+06,1.004319310188293457e+00,2.430714666843414307e-03
2.458411098700016737e+06,1.003911614418029785e+00,2.430455526337027550e-03
2.458411100088936277e+06,9.971502423286437988e-01,2.427309518679976463e-03
2.458411101477855816e+06,1.006549119949340820e+00,2.433311194181442261e-03
2.458411102866774891e+06,1.001325726509094238e+00,2.430126070976257324e-03
2.458411104255694430e+06,1.003802299499511719e+00,2.431826665997505188e-03
2.458411105644613970e+06,1.000448226928710938e+00,2.428612206131219864e-03
2.458411107033533510e+06,1.006085395812988281e+00,2.432870678603649139e-03
2.458411108422452584e+06,1.005014896392822266e+00,2.431978005915880203e-03
2.458411109811372124e+06,1.004655003547668457e+00,2.434023423120379448e-03
2.458411111200291663e+06,1.003324031829833984e+00,2.432692330330610275e-03
2.458411112589211203e+06,1.005222201347351074e+00,2.430927008390426636e-03
2.458411113978130743e+06,1.003089785575866699e+00,2.431093482300639153e-03
2.458411115367049817e+06,1.003632903099060059e+00,2.429734682664275169e-03
2.458411116755969357e+06,1.003142118453979492e+00,2.431739354506134987e-03
2.458411118144888896e+06,1.000413060188293457e+00,2.428234787657856941e-03
2.458411119533808436e+06,1.001884341239929199e+00,2.429513260722160339e-03
2.458411120922727976e+06,1.001665234565734863e+00,2.429278334602713585e-03
2.458411122311647050e+06,1.004971504211425781e+00,2.433373825624585152e-03
2.458411123700566590e+06,1.001296281814575195e+00,2.430159831419587135e-03
2.458411125089486130e+06,1.001942515373229980e+00,2.428427571430802345e-03
2.458411126478405669e+06,9.976578950881958008e-01,2.427433617413043976e-03
2.458411127867325209e+06,1.004549741744995117e+00,2.430354245007038116e-03
2.458411129256244283e+06,1.004660844802856445e+00,2.430980093777179718e-03
2.458411130645163823e+06,1.005774378776550293e+00,2.432972658425569534e-03
2.458411132034083363e+06,1.003605723381042480e+00,2.430635970085859299e-03
2.458411133423002902e+06,1.004373192787170410e+00,2.432244131341576576e-03
2.458411134811921977e+06,1.003319859504699707e+00,2.430830616503953934e-03
2.458411136200841516e+06,9.993410706520080566e-01,2.427790313959121704e-03
2.458411137589761056e+06,9.988720417022705078e-01,2.427468076348304749e-03
2.458411138978680596e+06,1.004716992378234863e+00,2.433701884001493454e-03
2.458411140367600136e+06,1.000592470169067383e+00,2.428484382107853889e-03
2.458411141756519210e+06,1.003800868988037109e+00,2.429415006190538406e-03
2.458411143145438749e+06,1.006277322769165039e+00,2.432137727737426758e-03
2.458411144534358289e+06,1.001418590545654297e+00,2.430097898468375206e-03
2.458411145923277829e+06,9.997720122337341309e-01,2.427547238767147064e-03
2.458411147312197369e+06,9.965857267379760742e-01,2.426709281280636787e-03
2.458411148701116908e+06,1.002075195312500000e+00,2.431578002870082855e-03
2.458411150090035982e+06,1.003105521202087402e+00,2.431659493595361710e-03
2.458411151478955522e+06,9.986018538475036621e-01,2.428694861009716988e-03
2.458411152867875062e+06,1.004588484764099121e+00,2.432043896988034248e-03
2.458411154256794602e+06,1.002539038658142090e+00,2.429826417937874794e-03
2.458411155645714141e+06,1.002907514572143555e+00,2.427531173452734947e-03
2.458411157034633681e+06,1.005807638168334961e+00,2.432597801089286804e-03
2.458411158423552755e+06,1.005756497383117676e+00,2.430425724014639854e-03
2.458411159812472295e+06,9.988100528717041016e-01,2.429556101560592651e-03
2.458411161201391835e+06,1.002619624137878418e+00,2.431991277262568474e-03
2.458411162590311375e+06,1.003407120704650879e+00,2.431583125144243240e-03
2.458411163979230914e+06,9.989920258522033691e-01,2.427717903628945351e-03
2.458411165368150454e+06,1.002059221267700195e+00,2.429071580991148949e-03
2.458411166757069994e+06,1.001621723175048828e+00,2.428793581202626228e-03
2.458411168145989068e+06,1.001543760299682617e+00,2.429370302706956863e-03
2.458411169534908608e+06,1.005612134933471680e+00,2.430516993626952171e-03
2.458411170923828147e+06,1.006970882415771484e+00,2.433391520753502846e-03
2.458411172312747687e+06,1.001816749572753906e+00,2.429584972560405731e-03
2.458411173701667227e+06,1.002084732055664062e+00,2.429075771942734718e-03
2.458411175090586301e+06,1.000799655914306641e+00,2.430141437798738480e-03
2.458411176479505841e+06,9.989899992942810059e-01,2.428215695545077324e-03
2.458411177868425380e+06,1.006056308746337891e+00,2.432279055938124657e-03
2.458411179257344920e+06,1.001599073410034180e+00,2.428124891594052315e-03
2.458411180646264460e+06,1.002015948295593262e+00,2.429698593914508820e-03
2.458411182035184000e+06,9.968802332878112793e-01,2.426916500553488731e-03
2.458411183424103539e+06,1.002171874046325684e+00,2.430576598271727562e-03
2.458411184813022614e+06,1.000949740409851074e+00,2.428662497550249100e-03
2.458411186201942153e+06,1.004172563552856445e+00,2.430706983432173729e-03
2.458411187590861693e+06,1.005820631980895996e+00,2.430476015433669090e-03
2.458411188979781233e+06,9.996179938316345215e-01,2.428517444059252739e-03
2.458411190368700773e+06,1.001459360122680664e+00,2.429733984172344208e-03
2.458411191757620312e+06,9.945307970046997070e-01,2.425405429676175117e-03
2.458411193146539852e+06,1.004012227058410645e+00,2.429645741358399391e-03
2.458411194535458926e+06,1.000855565071105957e+00,2.428961452096700668e-03
2.458411195924378466e+06,1.001259565353393555e+00,2.429264131933450699e-03
